Salary1920,TwoP,TwoPA,TwoPP,eFGP,FT,FTA,FTP
22615559,3.6,7.5,0.484,0.554,5.4,6,0.904
7333333,1.2,2.6,0.449,0.503,1,1.2,0.844
1.40E+07,4.4,8.1,0.537,0.554,1.7,2.1,0.816
33005556,5.4,11.1,0.484,0.529,5.9,7,0.839
9800000,4.2,7.2,0.583,0.576,1.9,2.5,0.757
2578800,3,5.9,0.512,0.503,1,1.6,0.637
3952920,3.5,7,0.503,0.512,1.9,2.4,0.8
522738,0.3,1.1,0.235,0.304,0.6,0.7,0.818
19863636,4.5,9,0.499,0.507,2.4,3.2,0.731
14057730,2.5,5,0.497,0.525,1.8,2.2,0.783
1416852,0.9,2.1,0.421,0.421,0.8,1,0.761
1678854,0.7,1.8,0.413,0.435,0.5,0.6,0.818
9346153,3.7,6.6,0.555,0.567,2,2.8,0.71
196288,0.9,1.8,0.473,0.509,0.4,0.7,0.65
14634146,1.2,2.4,0.487,0.622,0.5,0.6,0.841
18539130,2.1,3.9,0.549,0.501,1,1.4,0.692
2564753,1,1.9,0.547,0.535,0.8,0.9,0.838
34234964,5.7,10.9,0.525,0.532,5.5,7.3,0.753
81678,1.5,3.5,0.429,0.25,1,1,1
37800000,6,11.3,0.528,0.541,9.7,11,0.879
11511234,2.6,4.5,0.582,0.53,0.8,1.2,0.671
6.00E+06,6.6,10.6,0.623,0.617,3.2,5,0.643
17839286,3.3,6.9,0.476,0.488,2,2.5,0.799
7670000,2.5,4.8,0.528,0.622,1.4,1.8,0.827
898310,2.2,4.6,0.475,0.46,1.1,1.7,0.667
1416852,0.6,1.3,0.514,0.512,0.4,0.5,0.786
1934160,1.4,2.8,0.511,0.506,0.8,1.2,0.688
2564753,1.1,2.1,0.524,0.333,0.3,0.4,0.75
32700690,3,5.6,0.542,0.527,2.2,2.6,0.834
9732396,1.4,2.6,0.556,0.545,0.4,0.7,0.6
3321030,1,1.9,0.541,0.545,0.9,1.2,0.767
1676735,2.4,4.4,0.539,0.544,1.7,2.5,0.694
1737145,2.6,5.4,0.478,0.457,1.5,2,0.763
4861208,4.2,8.6,0.487,0.56,2.1,2.4,0.886
2564753,1.4,2.7,0.531,0.517,0.7,1.1,0.66
13258781,0.8,1.8,0.468,0.472,0.5,0.7,0.719
2239200,1.2,2.7,0.459,0.483,0.8,1,0.82
26131111,6.4,11.9,0.539,0.523,3.1,4,0.768
2500000,3.2,7.4,0.436,0.42,2,3.1,0.645
2.80E+07,4.6,7.6,0.604,0.586,1.1,1.4,0.821
3540000,1.1,1.9,0.595,0.615,1.4,1.8,0.789
2636280,1.9,4.1,0.457,0.522,0.5,0.7,0.732
2332320,1.9,3.6,0.516,0.493,0.5,0.9,0.605
23271604,5.6,9.6,0.586,0.557,1.8,2.4,0.763
17185185,1.5,2.3,0.652,0.579,0.6,1,0.582
7.00E+06,1.6,3.3,0.493,0.514,0.9,1.1,0.824
11954546,2.1,3.9,0.533,0.565,1.1,1.5,0.707
7265485,6.4,12.2,0.521,0.518,3.8,5.6,0.675
31742000,6.4,12,0.533,0.557,3.2,3.7,0.873
5806440,2.3,4.6,0.51,0.499,1.5,1.8,0.815
1618520,1.2,2.9,0.431,0.465,1.2,1.5,0.816
92857,1,1.5,0.667,0.6,0.7,0.7,1
1618520,2.3,4.6,0.507,0.493,0.9,1.2,0.74
6927480,4.3,7.7,0.553,0.549,2.6,3.4,0.766
7059480,3.5,7.8,0.445,0.456,1.8,2.7,0.671
37436858,8.1,14,0.582,0.56,5.1,7.6,0.665
1416852,0.2,1,0.214,0.281,0.3,0.6,0.5
15349400,2.1,4.2,0.496,0.499,0.9,1.3,0.714
26573595,6.7,11.7,0.569,0.545,3.6,4.4,0.821
1645357,2.2,3.9,0.567,0.537,1.2,2,0.607
199000,1.7,3.8,0.435,0.394,0.2,0.3,0.5
8408000,2.1,4.7,0.453,0.46,0.9,1,0.841
1.20E+07,2.1,4.6,0.454,0.463,0.4,0.5,0.698
4767000,1.9,3.4,0.553,0.547,1.7,2.3,0.738
3827160,1.9,4,0.486,0.54,0.8,1,0.836
8.00E+06,1.4,2.4,0.583,0.553,0.8,1,0.784
4380120,2.8,7.3,0.387,0.438,2.2,3,0.717
1620564,1.1,2.1,0.505,0.496,0.8,0.9,0.818
2195122,0.8,2,0.411,0.502,0.8,1,0.826
1699236,2.3,4.2,0.543,0.514,1.1,1.5,0.783
1974600,5.3,9.5,0.553,0.515,2.7,3.6,0.752
10500000,4,8.2,0.487,0.499,2.9,3.3,0.888
19500000,6.5,12.9,0.504,0.52,5,6,0.832
3581986,2.2,3.4,0.646,0.579,0.7,1,0.704
2813280,1.6,2.6,0.599,0.563,0.3,0.5,0.613
842327,0.9,1.8,0.492,0.547,0.6,0.7,0.864
4160000,3.2,5.8,0.554,0.551,1.8,2.8,0.648
32742000,7.5,13.8,0.542,0.546,6.1,7.1,0.854
11286515,1.3,2.1,0.626,0.649,0.7,0.8,0.843
3169348,1.6,2.5,0.637,0.588,0.6,0.8,0.742
2625718,4,8.2,0.483,0.478,2.1,3.1,0.691
29802321,5.6,11.1,0.499,0.522,5.9,6.4,0.912
666667,1.7,3.3,0.524,0.519,0.6,0.8,0.784
4464286,2.7,4.2,0.641,0.627,0.8,1.3,0.619
12093024,2.1,3.4,0.613,0.571,1.4,1.6,0.842
4767000,4,6.8,0.589,0.575,1.2,1.7,0.724
28900000,2.5,6.2,0.412,0.479,4.7,5.2,0.904
33296296,2.3,4.4,0.514,0.518,2.5,3,0.83
50000,0.2,0.3,0.625,0.611,0,0.1,0.333
5500000,2.4,4.6,0.529,0.47,1.3,1.8,0.698
15450051,1.3,2.6,0.5,0.466,1.2,1.8,0.689
5300400,4.3,8.9,0.479,0.506,3.3,3.8,0.872
